SampleID,populations
PH0773-Cx,Cambodia
PH0774-C_maj,Cambodia
PH0775-Cx,Cambodia
PH0776-C,Cambodia
PH0778-C,Cambodia
PH0779-Cx_maj,Cambodia
PH0780-C,Cambodia
PH0783-C,Cambodia
PH0784-C_maj,Cambodia
PH0785-Cx,Cambodia
PH0786-Cx_maj,Cambodia
PH0788-C,Cambodia
PH0789-C,Cambodia
PH0790-C,Cambodia
PH0794-C,Cambodia
PH0795-C,Cambodia
PH0797-C,Cambodia
PH0801-C,Cambodia
PH0805-C,Cambodia
PH0807-C,Cambodia
PH0810-C,Cambodia
PH0811-C_maj,Cambodia
PH0813-C,Cambodia
PH0817-C_maj,Cambodia
PH0818-C,Cambodia
PH0819-C,Cambodia
PH0820-C,Cambodia
PH0822-C,Cambodia
PH0823-C,Cambodia
PH0825-C,Cambodia
PH0826-C,Cambodia
PH0828-C,Cambodia
PH0829-C_maj,Cambodia
PH0830-C,Cambodia
PH0831-C,Cambodia
PH0832-C,Cambodia
PH0833-C,Cambodia
PH0834-C,Cambodia
PH0835-C,Cambodia
PH0836-C_maj,Cambodia
PH0837-C,Cambodia
PH0838-C_maj,Cambodia
PH0839-C,Cambodia
PH0840-C,Cambodia
PH0841-C_maj,Cambodia
PH0842-C_maj,Cambodia
PH0843-C,Cambodia
PH0844-C,Cambodia
PH0845-C_maj,Cambodia
PH0846-C,Cambodia
PH0847-C,Cambodia
PH0848-C,Cambodia
PH0850-C_maj,Cambodia
PH0851-C,Cambodia
PH0852-C,Cambodia
PH0853-C,Cambodia
PH0854-C,Cambodia
PH0855-C,Cambodia
PH0856-C,Cambodia
PH0858-C,Cambodia
PH0860-Cx,Cambodia
PH0865-C,Cambodia
PH0866-C,Cambodia
PH0870-C_maj,Cambodia
PH0871-C,Cambodia
PH0872-C,Cambodia
PH0874-Cx,Cambodia
PH0875-C,Cambodia
PH0876-C_maj,Cambodia
PH0877-C,Cambodia
PH0878-C,Cambodia
PH0879-C,Cambodia
PH0880-C,Cambodia
PH0885-Cx,Cambodia
PH0886-C,Cambodia
PH0887-C,Cambodia
PH0888-C,Cambodia
PH0889-C,Cambodia
PH0890-C,Cambodia
PH0891-Cx,Cambodia
PH0893-C,Cambodia
PH0894-C,Cambodia
PH0895-C,Cambodia
PH0896-C,Cambodia
PH0898-C_maj,Cambodia
PH0899-C,Cambodia
PH0900-C,Cambodia
PH0901-C_maj,Cambodia
PH0902-C,Cambodia
PH0904-C,Cambodia
PH0905-C_maj,Cambodia
PH0907-C,Cambodia
PH0908-C,Cambodia
PH0909-C,Cambodia
PH0910-C,Cambodia
PH0912-C,Cambodia
PH0915-C,Cambodia
PH0916-C_maj,Cambodia
PH0920-Cx,Cambodia
PH0924-C,Cambodia
PH0925-C,Cambodia
PH0926-C,Cambodia
PH0927-C,Cambodia
PH0928-C,Cambodia
PH0929-C,Cambodia
PH0931-C,Cambodia
PH0932-C_maj,Cambodia
PH0933-C,Cambodia
PH0935-C_maj,Cambodia
PH0936-C,Cambodia
PH0937-C,Cambodia
PH0939-C,Cambodia
PH0976-C_maj,Cambodia
PH0979-C,Cambodia
PH0980-C,Cambodia
PH0981-C,Cambodia
PH0982-C,Cambodia
PH0983-C,Cambodia
PH0984-C,Cambodia
PH0985-C,Cambodia
PH0986-C,Cambodia
PH0987-C,Cambodia
PH0989-C,Cambodia
PH0990-C,Cambodia
PH0991-C,Cambodia
PH0994-C,Cambodia
PH0996-C,Cambodia
PH0997-C,Cambodia
PH0999-C,Cambodia
PH1000-C,Cambodia
PH1001-C,Cambodia
PH1002-C,Cambodia
PH1003-C,Cambodia
PH1136-C,Cambodia
PH1137-C_maj,Cambodia
